FaceID,Batch,Shotcrete_Layer,Spray_Time,Air_Temp,Shotcrete_Temp,Shotcrete_Blend,15M_MPa,30M_MPa,60M_MPa,90M_MPa,120M_MPa,150M_Mpa,180M_Mpa,240M_Mpa,270M_Mpa,300M_Mpa
RUP_1075_630_ACC_17,2 & 4,2,19:30:00,7.0,,,,,1.01,,,,,,,
RUP_1100_592_RMP_11,1 & 2,1,02:00:00,6.0,,,,0.66,,1.02,,,,,,
Rehabilitation (410 - 416) -GTN 2,1,2,15:30:00,12.0,,,,,,,1.03,,,,,
RUP_1075_630_ACC_18,1,1,09:30:00,14.0,,,,,1.04,,,,,,,
RUP_1075_630_ACC_18,2,2,18:30:00,7.0,,,,,0.9,1.01,,,,,,
RUP_1075_630_ACC_19,1,1,14:30:00,7.0,,,,,0.71,,1.04,,,,,
RUP_1100_592_RMP_11,7 & 8 & 9 & 10,2,07:30:00,7.0,,,,,0.87,,1.03,,,,,
RUP_1075_630_ACC_19,2 & 3,2,15:40:00,8.0,,,,,,1.05,,,,,,
RUP_950_DEC_09,1,1,03:00:00,,,,,,,,0.13,,,0.17,,
RUP_950_DEC_09,2,1,22:00:00,11.0,,,,,1.02,,,,,,,
